#{"t_start": 1624977153.7937307, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3371,2.043139
-21.0,3412,3.526894
-20.0,3682,5.126368
-19.0,4030,6.869698
-19.0,4060,8.636233
-21.0,3371,10.121982
-21.0,3540,11.682593
-20.0,3800,13.33325
-21.0,3284,14.759129
-21.0,3300,16.185058
-21.0,3764,17.830127
-21.0,3304,50.042716
-21.0,3852,51.763567
-20.0,3547,53.344465
-20.0,3367,54.805411
-18.0,4341,56.691719
-20.0,3785,58.370781
-20.0,3615,59.959486
-20.0,4031,61.728937
-21.0,3128,63.09585
-19.0,3727,64.710367
-21.0,3296,66.149343
-20.0,3485,100.326939
-21.0,3967,102.070824
-21.0,3652,103.702151
-21.0,3489,105.232251
-20.0,3442,106.728897
-21.0,3648,108.333933
-20.0,3607,109.911316
-20.0,3944,111.643062
-20.0,3711,113.291576
-20.0,4034,115.046097
-20.0,3873,116.747393
-20.0,3710,152.358913
-20.0,3948,154.166239
-20.0,3367,155.669074
-20.0,3923,157.403053
-21.0,3392,158.897817
-21.0,3056,160.297483
-21.0,3485,161.903511
-21.0,3764,163.600359
-21.0,3280,165.060445
-21.0,3318,166.535504
-21.0,3280,168.003711
-21.0,3286,201.408482
-21.0,3595,202.978839
-21.0,3300,204.435551
-19.0,3860,206.116474
-20.0,4152,207.958504
-18.0,4218,209.832797
-21.0,3544,211.38101
-19.0,3988,213.118155
-20.0,3367,214.607868
-21.0,3296,216.075373
-19.0,4068,217.862581
